,,,,,,,,,,,,SARIMA,,
datetime2017,Humidity_2017,datetime2018,Humidity_2018,datetime2019,Humidity_2019,datetime2020,Humidity_2020,datetime2021,Humidity_2021,datetime2022,Humidity_2022,datetime_sarima,lower H_mu_actual,upper H_mu_actual
1/1/2017 0:00,92.576,1/1/2018 0:00,100.2,1/1/2019 0:00,50,1/1/2020 0:00,90,1/1/2021 0:00,77,1/1/2022 0:00,82.72116421,1/1/2021 0:00,70.31204178,95.12973433
1/1/2017 1:00,94.203,1/1/2018 1:00,100.2,1/1/2019 1:00,50,1/1/2020 1:00,90,1/1/2021 1:00,78,1/1/2022 1:00,72.81080366,1/1/2021 1:00,60.40453964,85.22223219
1/1/2017 2:00,95.751,1/1/2018 2:00,100.2,1/1/2019 2:00,50,1/1/2020 2:00,85,1/1/2021 2:00,76,1/1/2022 2:00,76.59344633,1/1/2021 2:00,64.18460946,89.00230201
1/1/2017 3:00,95.533,1/1/2018 3:00,100.2,1/1/2019 3:00,50,1/1/2020 3:00,91,1/1/2021 3:00,78,1/1/2022 3:00,79.55024834,1/1/2021 3:00,67.1405196,91.95821215
1/1/2017 4:00,92.854,1/1/2018 4:00,100.2,1/1/2019 4:00,50,1/1/2020 4:00,92,1/1/2021 4:00,81,1/1/2022 4:00,78.26560566,1/1/2021 4:00,65.86100461,90.67869716
1/1/2017 5:00,98.628,1/1/2018 5:00,100.2,1/1/2019 5:00,50,1/1/2020 5:00,94,1/1/2021 5:00,82,1/1/2022 5:00,85.14586299,1/1/2021 5:00,72.73601301,97.55370556
1/1/2017 6:00,100.232,1/1/2018 6:00,100.2,1/1/2019 6:00,50,1/1/2020 6:00,96,1/1/2021 6:00,80,1/1/2022 6:00,82.5223738,1/1/2021 6:00,70.11381942,94.93151197
1/1/2017 7:00,100.24,1/1/2018 7:00,100.2,1/1/2019 7:00,50,1/1/2020 7:00,63,1/1/2021 7:00,90,1/1/2022 7:00,80.81723541,1/1/2021 7:00,68.40841928,93.22611183
1/1/2017 8:00,99.638,1/1/2018 8:00,100.2,1/1/2019 8:00,50,1/1/2020 8:00,64,1/1/2021 8:00,89,1/1/2022 8:00,89.69012102,1/1/2021 8:00,77.28025522,102.0979478
1/1/2017 9:00,89.752,1/1/2018 9:00,89.5,1/1/2019 9:00,50,1/1/2020 9:00,58,1/1/2021 9:00,80,1/1/2022 9:00,89.89972637,1/1/2021 9:00,77.49033202,102.3080246
1/1/2017 10:00,83.692,1/1/2018 10:00,87.1,1/1/2019 10:00,50,1/1/2020 10:00,54,1/1/2021 10:00,64,1/1/2022 10:00,75.45272482,1/1/2021 10:00,63.0436684,87.86136095
1/1/2017 11:00,69.431,1/1/2018 11:00,83.3,1/1/2019 11:00,50,1/1/2020 11:00,50,1/1/2021 11:00,61,1/1/2022 11:00,63.00553898,1/1/2021 11:00,50.59418787,75.41188041
1/1/2017 12:00,61.988,1/1/2018 12:00,85.3,1/1/2019 12:00,50,1/1/2020 12:00,49,1/1/2021 12:00,54,1/1/2022 12:00,59.8811763,1/1/2021 12:00,47.47131336,72.28900591
1/1/2017 13:00,51.907,1/1/2018 13:00,64.4,1/1/2019 13:00,50,1/1/2020 13:00,49,1/1/2021 13:00,52,1/1/2022 13:00,51.41173598,1/1/2021 13:00,39.00375161,63.82144416
1/1/2017 14:00,49.304,1/1/2018 14:00,60,1/1/2019 14:00,50,1/1/2020 14:00,46,1/1/2021 14:00,51,1/1/2022 14:00,50.67784459,1/1/2021 14:00,38.26849731,63.08618986
1/1/2017 15:00,48.112,1/1/2018 15:00,57.8,1/1/2019 15:00,50,1/1/2020 15:00,51,1/1/2021 15:00,50,1/1/2022 15:00,50.38017292,1/1/2021 15:00,37.97291616,62.79060871
1/1/2017 16:00,56.668,1/1/2018 16:00,62.5,1/1/2019 16:00,50,1/1/2020 16:00,53,1/1/2021 16:00,58,1/1/2022 16:00,50.87819235,1/1/2021 16:00,38.47281688,63.29050943
1/1/2017 17:00,73.616,1/1/2018 17:00,72.4,1/1/2019 17:00,50,1/1/2020 17:00,60,1/1/2021 17:00,69,1/1/2022 17:00,61.59898027,1/1/2021 17:00,49.1898184,74.00751095
1/1/2017 18:00,87.286,1/1/2018 18:00,64,1/1/2019 18:00,50,1/1/2020 18:00,66,1/1/2021 18:00,69,1/1/2022 18:00,71.00519116,1/1/2021 18:00,58.596556,83.41424855
1/1/2017 19:00,85.297,1/1/2018 19:00,81.6,1/1/2019 19:00,50,1/1/2020 19:00,60,1/1/2021 19:00,71,1/1/2022 19:00,67.54665386,1/1/2021 19:00,55.13939951,79.95709206
1/1/2017 20:00,88.109,1/1/2018 20:00,81.5,1/1/2019 20:00,50,1/1/2020 20:00,62,1/1/2021 20:00,74,1/1/2022 20:00,73.63174619,1/1/2021 20:00,61.21993746,86.03763001
1/1/2017 21:00,90.133,1/1/2018 21:00,72.1,1/1/2019 21:00,50,1/1/2020 21:00,68,1/1/2021 21:00,73,1/1/2022 21:00,74.01197535,1/1/2021 21:00,61.60357558,86.42126813
1/1/2017 22:00,94.767,1/1/2018 22:00,82.5,1/1/2019 22:00,50,1/1/2020 22:00,57,1/1/2021 22:00,81,1/1/2022 22:00,75.03831376,1/1/2021 22:00,62.62615665,87.44384919
1/1/2017 23:00,97.13,1/1/2018 23:00,77.1,1/1/2019 23:00,50,1/1/2020 23:00,66,1/1/2021 23:00,76,1/1/2022 23:00,81.00544354,1/1/2021 23:00,68.59523907,93.41293162
1/2/2017 0:00,97.618,1/2/2018 0:00,80.2,1/2/2019 0:00,50,1/2/2020 0:00,68,1/2/2021 0:00,73,1/2/2022 0:00,75.31662077,1/2/2021 0:00,62.90744368,87.72513623
1/2/2017 1:00,96.33,1/2/2018 1:00,89,1/2/2019 1:00,50,1/2/2020 1:00,63,1/2/2021 1:00,81,1/2/2022 1:00,71.6314097,1/2/2021 1:00,59.2232421,84.04093465
1/2/2017 2:00,97.176,1/2/2018 2:00,91,1/2/2019 2:00,50,1/2/2020 2:00,61,1/2/2021 2:00,93,1/2/2022 2:00,80.31193051,1/2/2021 2:00,67.90312193,92.72081448
1/2/2017 3:00,99.527,1/2/2018 3:00,88.3,1/2/2019 3:00,50,1/2/2020 3:00,64,1/2/2021 3:00,96,1/2/2022 3:00,94.21899343,1/2/2021 3:00,81.8118654,106.6295579
1/2/2017 4:00,98.811,1/2/2018 4:00,87.1,1/2/2019 4:00,50,1/2/2020 4:00,70,1/2/2021 4:00,97,1/2/2022 4:00,96.87709636,1/2/2021 4:00,84.47225974,109.2899523
1/2/2017 5:00,100.095,1/2/2018 5:00,85.8,1/2/2019 5:00,50,1/2/2020 5:00,79,1/2/2021 5:00,100,1/2/2022 5:00,98.82169074,1/2/2021 5:00,86.41341357,111.2311061
1/2/2017 6:00,99.295,1/2/2018 6:00,90.9,1/2/2019 6:00,50,1/2/2020 6:00,80,1/2/2021 6:00,98,1/2/2022 6:00,101.2702279,1/2/2021 6:00,88.86168393,113.6793765
1/2/2017 7:00,100.027,1/2/2018 7:00,89.3,1/2/2019 7:00,50,1/2/2020 7:00,86,1/2/2021 7:00,100,1/2/2022 7:00,98.12896503,1/2/2021 7:00,85.72021951,110.5379121
1/2/2017 8:00,98.46,1/2/2018 8:00,89.3,1/2/2019 8:00,50,1/2/2020 8:00,83,1/2/2021 8:00,100,1/2/2022 8:00,101.5655693,1/2/2021 8:00,89.15426796,113.9719605
1/2/2017 9:00,92.084,1/2/2018 9:00,82.4,1/2/2019 9:00,50,1/2/2020 9:00,61,1/2/2021 9:00,83,1/2/2022 9:00,98.0292925,1/2/2021 9:00,85.62186535,110.4395579
1/2/2017 10:00,87.942,1/2/2018 10:00,65.3,1/2/2019 10:00,50,1/2/2020 10:00,56,1/2/2021 10:00,78,1/2/2022 10:00,79.14437216,1/2/2021 10:00,66.73464309,91.55233564
1/2/2017 11:00,73.665,1/2/2018 11:00,63.6,1/2/2019 11:00,50,1/2/2020 11:00,53,1/2/2021 11:00,73,1/2/2022 11:00,77.32292009,1/2/2021 11:00,64.91211567,89.72980822
1/2/2017 12:00,63.768,1/2/2018 12:00,68,1/2/2019 12:00,50,1/2/2020 12:00,55,1/2/2021 12:00,65,1/2/2022 12:00,70.83489227,1/2/2021 12:00,58.42607386,83.24376641
1/2/2017 13:00,55.802,1/2/2018 13:00,65,1/2/2019 13:00,50,1/2/2020 13:00,48,1/2/2021 13:00,60,1/2/2022 13:00,61.22251112,1/2/2021 13:00,48.81485435,73.6325469
1/2/2017 14:00,50.394,1/2/2018 14:00,65.8,1/2/2019 14:00,50,1/2/2020 14:00,46,1/2/2021 14:00,55,1/2/2022 14:00,55.98929807,1/2/2021 14:00,43.5810105,68.39870305
1/2/2017 15:00,49,1/2/2018 15:00,67.9,1/2/2019 15:00,50,1/2/2020 15:00,45,1/2/2021 15:00,57,1/2/2022 15:00,54.10880332,1/2/2021 15:00,41.70131999,66.51901254
1/2/2017 16:00,52.898,1/2/2018 16:00,69.7,1/2/2019 16:00,50,1/2/2020 16:00,55,1/2/2021 16:00,71,1/2/2022 16:00,58.64175317,1/2/2021 16:00,46.23549018,71.05318272
1/2/2017 17:00,56.378,1/2/2018 17:00,62,1/2/2019 17:00,50,1/2/2020 17:00,64,1/2/2021 17:00,87,1/2/2022 17:00,74.8040356,1/2/2021 17:00,62.39482637,87.21251892
1/2/2017 18:00,59.751,1/2/2018 18:00,70.8,1/2/2019 18:00,50,1/2/2020 18:00,71,1/2/2021 18:00,86,1/2/2022 18:00,89.37040826,1/2/2021 18:00,76.96224974,101.7799423
1/2/2017 19:00,58.226,1/2/2018 19:00,74.8,1/2/2019 19:00,50,1/2/2020 19:00,74,1/2/2021 19:00,88,1/2/2022 19:00,86.64199037,1/2/2021 19:00,74.2334006,99.05109315
1/2/2017 20:00,57.11,1/2/2018 20:00,98.2,1/2/2019 20:00,50,1/2/2020 20:00,80,1/2/2021 20:00,91,1/2/2022 20:00,90.41595542,1/2/2021 20:00,78.00453291,102.8222255
1/2/2017 21:00,57.22,1/2/2018 21:00,83,1/2/2019 21:00,50,1/2/2020 21:00,76,1/2/2021 21:00,91,1/2/2022 21:00,92.28590861,1/2/2021 21:00,79.87727577,104.6949683
1/2/2017 22:00,55.128,1/2/2018 22:00,71.3,1/2/2019 22:00,50,1/2/2020 22:00,83,1/2/2021 22:00,91,1/2/2022 22:00,90.80479176,1/2/2021 22:00,78.39399873,103.2116913
1/2/2017 23:00,64.134,1/2/2018 23:00,67.2,1/2/2019 23:00,50,1/2/2020 23:00,88,1/2/2021 23:00,92,1/2/2022 23:00,90.83150715,1/2/2021 23:00,78.42142167,103.2391142
1/3/2017 0:00,73.699,1/3/2018 0:00,63.1,1/3/2019 0:00,50,1/3/2020 0:00,92,1/3/2021 0:00,95,1/3/2022 0:00,91.42351906,1/3/2021 0:00,79.01472843,103.832421
1/3/2017 1:00,80.236,1/3/2018 1:00,63.1,1/3/2019 1:00,50,1/3/2020 1:00,94,1/3/2021 1:00,94,1/3/2022 1:00,94.90617668,1/3/2021 1:00,82.49732252,107.3150151
1/3/2017 2:00,72.335,1/3/2018 2:00,62.6,1/3/2019 2:00,50,1/3/2020 2:00,96,1/3/2021 2:00,96,1/3/2022 2:00,94.18454708,1/3/2021 2:00,81.77440239,106.5920949
1/3/2017 3:00,67.781,1/3/2018 3:00,65.1,1/3/2019 3:00,50,1/3/2020 3:00,93,1/3/2021 3:00,96,1/3/2022 3:00,95.92459729,1/3/2021 3:00,83.51717571,108.3348683
1/3/2017 4:00,72.731,1/3/2018 4:00,62.5,1/3/2019 4:00,50,1/3/2020 4:00,96,1/3/2021 4:00,97,1/3/2022 4:00,95.38629033,1/3/2021 4:00,82.98114132,107.7988339
1/3/2017 5:00,69.759,1/3/2018 5:00,63.9,1/3/2019 5:00,50,1/3/2020 5:00,98,1/3/2021 5:00,98,1/3/2022 5:00,97.8963143,1/3/2021 5:00,85.48785816,110.3055507
1/3/2017 6:00,75.921,1/3/2018 6:00,60.7,1/3/2019 6:00,50,1/3/2020 6:00,99,1/3/2021 6:00,96,1/3/2022 6:00,99.10263359,1/3/2021 6:00,86.69417258,111.5118651
1/3/2017 7:00,66.775,1/3/2018 7:00,62.2,1/3/2019 7:00,50,1/3/2020 7:00,100,1/3/2021 7:00,99,1/3/2022 7:00,96.10585365,1/3/2021 7:00,83.69687136,108.5145639
1/3/2017 8:00,59.93,1/3/2018 8:00,59.8,1/3/2019 8:00,50,1/3/2020 8:00,99,1/3/2021 8:00,98,1/3/2022 8:00,100.5284503,1/3/2021 8:00,88.11735293,112.9350455
1/3/2017 9:00,52.205,1/3/2018 9:00,59.8,1/3/2019 9:00,50,1/3/2020 9:00,85,1/3/2021 9:00,91,1/3/2022 9:00,95.28128229,1/3/2021 9:00,82.87479522,107.6924878
1/3/2017 10:00,50.989,1/3/2018 10:00,55.7,1/3/2019 10:00,50,1/3/2020 10:00,77,1/3/2021 10:00,71,1/3/2022 10:00,89.36651854,1/3/2021 10:00,76.9561351,101.7738277
1/3/2017 11:00,54.812,1/3/2018 11:00,45,1/3/2019 11:00,50,1/3/2020 11:00,66,1/3/2021 11:00,81,1/3/2022 11:00,68.31008194,1/3/2021 11:00,55.90004307,80.71773562
1/3/2017 12:00,54.289,1/3/2018 12:00,40.9,1/3/2019 12:00,50,1/3/2020 12:00,60,1/3/2021 12:00,77,1/3/2022 12:00,78.04792533,1/3/2021 12:00,65.64030895,90.4580015
1/3/2017 13:00,61.656,1/3/2018 13:00,45.8,1/3/2019 13:00,50,1/3/2020 13:00,55,1/3/2021 13:00,69,1/3/2022 13:00,75.69199744,1/3/2021 13:00,63.28346614,88.10115869
1/3/2017 14:00,71.489,1/3/2018 14:00,43.2,1/3/2019 14:00,50,1/3/2020 14:00,51,1/3/2021 14:00,69,1/3/2022 14:00,67.21089659,1/3/2021 14:00,54.80128927,79.61898182
1/3/2017 15:00,71.516,1/3/2018 15:00,46,1/3/2019 15:00,50,1/3/2020 15:00,54,1/3/2021 15:00,75,1/3/2022 15:00,69.0308276,1/3/2021 15:00,56.62287411,81.44056666
1/3/2017 16:00,70.807,1/3/2018 16:00,53.5,1/3/2019 16:00,50,1/3/2020 16:00,62,1/3/2021 16:00,85,1/3/2022 16:00,77.34434903,1/3/2021 16:00,64.93735137,89.75504392
1/3/2017 17:00,73.932,1/3/2018 17:00,51.5,1/3/2019 17:00,50,1/3/2020 17:00,76,1/3/2021 17:00,92,1/3/2022 17:00,89.52834211,1/3/2021 17:00,77.11818665,101.9358792
1/3/2017 18:00,84.691,1/3/2018 18:00,53.2,1/3/2019 18:00,50,1/3/2020 18:00,79,1/3/2021 18:00,90,1/3/2022 18:00,93.61920104,1/3/2021 18:00,81.21110148,106.028794
1/3/2017 19:00,97.934,1/3/2018 19:00,52.7,1/3/2019 19:00,50,1/3/2020 19:00,84,1/3/2021 19:00,97,1/3/2022 19:00,90.182449,1/3/2021 19:00,77.7736156,102.5913082
1/3/2017 20:00,99.184,1/3/2018 20:00,51.1,1/3/2019 20:00,50,1/3/2020 20:00,83,1/3/2021 20:00,100,1/3/2022 20:00,99.66126502,1/3/2021 20:00,87.25003476,112.0677273
1/3/2017 21:00,100.191,1/3/2018 21:00,49.2,1/3/2019 21:00,50,1/3/2020 21:00,92,1/3/2021 21:00,100,1/3/2022 21:00,99.02483214,1/3/2021 21:00,86.61779021,111.4354828
1/3/2017 22:00,100.198,1/3/2018 22:00,49.6,1/3/2019 22:00,50,1/3/2020 22:00,92,1/3/2021 22:00,100,1/3/2022 22:00,102.6230059,1/3/2021 22:00,90.21131514,115.0290077
1/3/2017 23:00,100.194,1/3/2018 23:00,56.8,1/3/2019 23:00,50,1/3/2020 23:00,93,1/3/2021 23:00,100,1/3/2022 23:00,96.92674818,1/3/2021 23:00,84.51798903,109.3356816
1/4/2017 0:00,100.194,1/4/2018 0:00,77.9,1/4/2019 0:00,50,1/4/2020 0:00,93,1/4/2021 0:00,100,1/4/2022 0:00,98.70956075,1/4/2021 0:00,86.30109189,111.1187844
1/4/2017 1:00,100.198,1/4/2018 1:00,94.5,1/4/2019 1:00,50,1/4/2020 1:00,50,1/4/2021 1:00,100,1/4/2022 1:00,100.2434101,1/4/2021 1:00,87.83444651,112.6521391
1/4/2017 2:00,100.202,1/4/2018 2:00,100.2,1/4/2019 2:00,50,1/4/2020 2:00,50,1/4/2021 2:00,100,1/4/2022 2:00,99.19480498,1/4/2021 2:00,86.78516145,111.602854
1/4/2017 3:00,100.21,1/4/2018 3:00,100.2,1/4/2019 3:00,50,1/4/2020 3:00,50,1/4/2021 3:00,100,1/4/2022 3:00,99.17847707,1/4/2021 3:00,86.77111515,111.5888077
1/4/2017 4:00,100.198,1/4/2018 4:00,100.1,1/4/2019 4:00,50,1/4/2020 4:00,99,1/4/2021 4:00,100,1/4/2022 4:00,100.5206976,1/4/2021 4:00,88.11431373,112.9320063
1/4/2017 5:00,100.21,1/4/2018 5:00,100.1,1/4/2019 5:00,50,1/4/2020 5:00,99,1/4/2021 5:00,100,1/4/2022 5:00,102.7956147,1/4/2021 5:00,90.38580654,115.2034991
1/4/2017 6:00,100.21,1/4/2018 6:00,100.1,1/4/2019 6:00,50,1/4/2020 6:00,50,1/4/2021 6:00,100,1/4/2022 6:00,100.9023146,1/4/2021 6:00,88.49401331,113.3117059
1/4/2017 7:00,100.206,1/4/2018 7:00,100.2,1/4/2019 7:00,50,1/4/2020 7:00,50,1/4/2021 7:00,100,1/4/2022 7:00,99.29817783,1/4/2021 7:00,86.88938582,111.7070784
1/4/2017 8:00,100.202,1/4/2018 8:00,100.1,1/4/2019 8:00,50,1/4/2020 8:00,98,1/4/2021 8:00,100,1/4/2022 8:00,101.3445152,1/4/2021 8:00,88.93360619,113.7512987
1/4/2017 9:00,96.852,1/4/2018 9:00,100.1,1/4/2019 9:00,50,1/4/2020 9:00,98,1/4/2021 9:00,100,1/4/2022 9:00,97.17471344,1/4/2021 9:00,84.76828316,109.5859757
1/4/2017 10:00,100.194,1/4/2018 10:00,98.8,1/4/2019 10:00,50,1/4/2020 10:00,50,1/4/2021 10:00,100,1/4/2022 10:00,98.14534872,1/4/2021 10:00,85.73642279,110.5541153
1/4/2017 11:00,96.158,1/4/2018 11:00,100.1,1/4/2019 11:00,50,1/4/2020 11:00,50,1/4/2021 11:00,100,1/4/2022 11:00,99.32124968,1/4/2021 11:00,86.91091799,111.7286105
1/4/2017 12:00,92.519,1/4/2018 12:00,93.4,1/4/2019 12:00,50,1/4/2020 12:00,50,1/4/2021 12:00,100,1/4/2022 12:00,97.86606504,1/4/2021 12:00,85.45800569,110.2756982
1/4/2017 13:00,89.375,1/4/2018 13:00,84.6,1/4/2019 13:00,50,1/4/2020 13:00,64,1/4/2021 13:00,50,1/4/2022 13:00,98.56059258,1/4/2021 13:00,86.15267851,110.9703711
1/4/2017 14:00,92.965,1/4/2018 14:00,83.3,1/4/2019 14:00,50,1/4/2020 14:00,54,1/4/2021 14:00,100,1/4/2022 14:00,46.52088123,1/4/2021 14:00,34.10977152,58.92746407
1/4/2017 15:00,96.231,1/4/2018 15:00,73.2,1/4/2019 15:00,50,1/4/2020 15:00,55,1/4/2021 15:00,100,1/4/2022 15:00,101.7976702,1/4/2021 15:00,89.39018131,114.2078739
1/4/2017 16:00,100.191,1/4/2018 16:00,85.9,1/4/2019 16:00,50,1/4/2020 16:00,64,1/4/2021 16:00,100,1/4/2022 16:00,103.299693,1/4/2021 16:00,90.89230173,115.7099943
1/4/2017 17:00,100.202,1/4/2018 17:00,94.1,1/4/2019 17:00,50,1/4/2020 17:00,72,1/4/2021 17:00,100,1/4/2022 17:00,104.4552414,1/4/2021 17:00,92.04486489,116.8625574
1/4/2017 18:00,100.206,1/4/2018 18:00,75.1,1/4/2019 18:00,50,1/4/2020 18:00,80,1/4/2021 18:00,100,1/4/2022 18:00,100.5009538,1/4/2021 18:00,88.09304704,112.9107396
1/4/2017 19:00,100.198,1/4/2018 19:00,68.9,1/4/2019 19:00,50,1/4/2020 19:00,83,1/4/2021 19:00,100,1/4/2022 19:00,100.8670568,1/4/2021 19:00,88.45734702,113.2750396
1/4/2017 20:00,100.191,1/4/2018 20:00,62.6,1/4/2019 20:00,50,1/4/2020 20:00,78,1/4/2021 20:00,100,1/4/2022 20:00,101.8917802,1/4/2021 20:00,89.48064007,114.2983326
1/4/2017 21:00,77.903,1/4/2018 21:00,78.6,1/4/2019 21:00,50,1/4/2020 21:00,82,1/4/2021 21:00,100,1/4/2022 21:00,97.19025707,1/4/2021 21:00,84.78363024,109.6013228
1/4/2017 22:00,71.676,1/4/2018 22:00,92.4,1/4/2019 22:00,50,1/4/2020 22:00,80,1/4/2021 22:00,100,1/4/2022 22:00,98.16225321,1/4/2021 22:00,85.75324731,110.5709399
1/4/2017 23:00,72.842,1/4/2018 23:00,93.1,1/4/2019 23:00,50,1/4/2020 23:00,89,1/4/2021 23:00,92,1/4/2022 23:00,99.32044024,1/4/2021 23:00,86.91012673,111.7278193
1/5/2017 0:00,70.003,1/5/2018 0:00,92.3,1/5/2019 0:00,50,1/5/2020 0:00,81,1/5/2021 0:00,86,1/5/2022 0:00,89.46666672,1/5/2021 0:00,77.05825014,101.8759427
1/5/2017 1:00,74.488,1/5/2018 1:00,100.2,1/5/2019 1:00,50,1/5/2020 1:00,85,1/5/2021 1:00,80,1/5/2022 1:00,93.2404794,1/5/2021 1:00,80.82826972,105.6459623
1/5/2017 2:00,80.685,1/5/2018 2:00,97.8,1/5/2019 2:00,50,1/5/2020 2:00,89,1/5/2021 2:00,81,1/5/2022 2:00,68.93388355,1/5/2021 2:00,56.52777382,81.34546637
1/5/2017 3:00,87.534,1/5/2018 3:00,95.6,1/5/2019 3:00,50,1/5/2020 3:00,94,1/5/2021 3:00,79,1/5/2022 3:00,81.44829441,1/5/2021 3:00,69.03999013,93.85768268
1/5/2017 4:00,100.191,1/5/2018 4:00,96.4,1/5/2019 4:00,50,1/5/2020 4:00,95,1/5/2021 4:00,73,1/5/2022 4:00,81.37079913,1/5/2021 4:00,68.96306902,93.78076157
1/5/2017 5:00,100.21,1/5/2018 5:00,95.9,1/5/2019 5:00,50,1/5/2020 5:00,100,1/5/2021 5:00,79,1/5/2022 5:00,76.52567791,1/5/2021 5:00,64.1151951,88.93288764
1/5/2017 6:00,100.187,1/5/2018 6:00,100.2,1/5/2019 6:00,50,1/5/2020 6:00,69,1/5/2021 6:00,82,1/5/2022 6:00,79.3792353,1/5/2021 6:00,66.97132282,91.78901537
1/5/2017 7:00,100.202,1/5/2018 7:00,100,1/5/2019 7:00,50,1/5/2020 7:00,75,1/5/2021 7:00,84,1/5/2022 7:00,82.95107332,1/5/2021 7:00,70.54152284,95.35921539
1/5/2017 8:00,100.191,1/5/2018 8:00,100.2,1/5/2019 8:00,50,1/5/2020 8:00,66,1/5/2021 8:00,82,1/5/2022 8:00,86.01002792,1/5/2021 8:00,73.59915597,98.41684852
1/5/2017 9:00,100.202,1/5/2018 9:00,88.6,1/5/2019 9:00,50,1/5/2020 9:00,60,1/5/2021 9:00,80,1/5/2022 9:00,79.25547583,1/5/2021 9:00,66.84862291,91.66631546
1/5/2017 10:00,100.194,1/5/2018 10:00,84.9,1/5/2019 10:00,50,1/5/2020 10:00,55,1/5/2021 10:00,77,1/5/2022 10:00,78.09403624,1/5/2021 10:00,65.68487425,90.5025668
1/5/2017 11:00,100.183,1/5/2018 11:00,85,1/5/2019 11:00,50,1/5/2020 11:00,75,1/5/2021 11:00,76,1/5/2022 11:00,77.58101374,1/5/2021 11:00,65.16996537,89.98765792
1/5/2017 12:00,100.191,1/5/2018 12:00,60.2,1/5/2019 12:00,50,1/5/2020 12:00,54,1/5/2021 12:00,71,1/5/2022 12:00,74.81429219,1/5/2021 12:00,62.40541489,87.22310744
1/5/2017 13:00,100.198,1/5/2018 13:00,65.3,1/5/2019 13:00,50,1/5/2020 13:00,50,1/5/2021 13:00,68,1/5/2022 13:00,68.53238979,1/5/2021 13:00,56.12693311,80.94462566
1/5/2017 14:00,100.183,1/5/2018 14:00,61.7,1/5/2019 14:00,50,1/5/2020 14:00,59,1/5/2021 14:00,59,1/5/2022 14:00,68.49260822,1/5/2021 14:00,56.07936631,80.89705886
1/5/2017 15:00,100.191,1/5/2018 15:00,66.9,1/5/2019 15:00,50,1/5/2020 15:00,66,1/5/2021 15:00,56,1/5/2022 15:00,59.06448179,1/5/2021 15:00,46.65582228,71.47351483
1/5/2017 16:00,100.194,1/5/2018 16:00,70.7,1/5/2019 16:00,50,1/5/2020 16:00,68,1/5/2021 16:00,59,1/5/2022 16:00,58.9184108,1/5/2021 16:00,46.51020326,71.32789581
1/5/2017 17:00,100.194,1/5/2018 17:00,83.9,1/5/2019 17:00,50,1/5/2020 17:00,72,1/5/2021 17:00,77,1/5/2022 17:00,61.47661575,1/5/2021 17:00,49.06707345,73.88476599
1/5/2017 18:00,100.198,1/5/2018 18:00,92.9,1/5/2019 18:00,50,1/5/2020 18:00,78,1/5/2021 18:00,57,1/5/2022 18:00,77.65075936,1/5/2021 18:00,65.24352846,90.06122101
1/5/2017 19:00,100.202,1/5/2018 19:00,91.8,1/5/2019 19:00,50,1/5/2020 19:00,72,1/5/2021 19:00,60,1/5/2022 19:00,56.76143621,1/5/2021 19:00,44.35166599,69.16935854
1/5/2017 20:00,100.202,1/5/2018 20:00,94.2,1/5/2019 20:00,50,1/5/2020 20:00,60,1/5/2021 20:00,64,1/5/2022 20:00,61.96082623,1/5/2021 20:00,49.54978192,74.36747447
1/5/2017 21:00,100.198,1/5/2018 21:00,93.9,1/5/2019 21:00,50,1/5/2020 21:00,62,1/5/2021 21:00,72,1/5/2022 21:00,61.81768517,1/5/2021 21:00,49.41055982,74.22825237
1/5/2017 22:00,100.202,1/5/2018 22:00,94.9,1/5/2019 22:00,50,1/5/2020 22:00,58,1/5/2021 22:00,85,1/5/2022 22:00,71.30455871,1/5/2021 22:00,58.89539844,83.71309098
1/5/2017 23:00,100.198,1/5/2018 23:00,95.1,1/5/2019 23:00,50,1/5/2020 23:00,58,1/5/2021 23:00,87,1/5/2022 23:00,85.23746648,1/5/2021 23:00,72.8281046,97.64579715
1/6/2017 0:00,100.194,1/6/2018 0:00,97,1/6/2019 0:00,50,1/6/2020 0:00,55,1/6/2021 0:00,82,1/6/2022 0:00,86.40829695,1/6/2021 0:00,74.00011145,98.817804
1/6/2017 1:00,100.213,1/6/2018 1:00,99.7,1/6/2019 1:00,50,1/6/2020 1:00,62,1/6/2021 1:00,73,1/6/2022 1:00,79.39819323,1/6/2021 1:00,66.99321143,91.81090398
1/6/2017 2:00,100.206,1/6/2018 2:00,99.6,1/6/2019 2:00,50,1/6/2020 2:00,61,1/6/2021 2:00,83,1/6/2022 2:00,75.34241706,1/6/2021 2:00,62.92837091,87.74606346
1/6/2017 3:00,100.202,1/6/2018 3:00,97.6,1/6/2019 3:00,50,1/6/2020 3:00,63,1/6/2021 3:00,79,1/6/2022 3:00,84.13135588,1/6/2021 3:00,71.72321089,96.54090344
1/6/2017 4:00,100.217,1/6/2018 4:00,100.2,1/6/2019 4:00,50,1/6/2020 4:00,62,1/6/2021 4:00,80,1/6/2022 4:00,80.45310174,1/6/2021 4:00,68.04625769,92.86395024
1/6/2017 5:00,100.213,1/6/2018 5:00,100.2,1/6/2019 5:00,50,1/6/2020 5:00,64,1/6/2021 5:00,78,1/6/2022 5:00,80.61171594,1/6/2021 5:00,68.20296076,93.02065331
1/6/2017 6:00,100.221,1/6/2018 6:00,100.2,1/6/2019 6:00,50,1/6/2020 6:00,67,1/6/2021 6:00,81,1/6/2022 6:00,82.12303024,1/6/2021 6:00,69.71323314,94.53092569
