2017,,2018,,2019,,2020,,2021,,2022,,SARIMA,lower T_mu_actual,upper T_mu_actual
1/1/2017 0:00,-7.674,1/1/2018 0:00,-1.4,1/1/2019 0:00,30,1/1/2020 0:00,-1.7,1/1/2021 0:00,6.5,01.01.2022 00:00:00,-0.021,1/1/2023 0:00,2.668111274,10.77397534
1/1/2017 1:00,-7.914,1/1/2018 1:00,-2.8,1/1/2019 1:00,30,1/1/2020 1:00,-1.6,1/1/2021 1:00,6.3,01.01.2022 01:00:00,0.188,1/1/2023 1:00,3.677896214,11.78376028
1/1/2017 2:00,-8.612,1/1/2018 2:00,-3,1/1/2019 2:00,30,1/1/2020 2:00,-1.9,1/1/2021 2:00,6.3,01.01.2022 02:00:00,0.95,1/1/2023 2:00,2.993481742,11.09934581
1/1/2017 3:00,-8.928,1/1/2018 3:00,-3.5,1/1/2019 3:00,30,1/1/2020 3:00,-2.9,1/1/2021 3:00,5.6,01.01.2022 03:00:00,-0.059,1/1/2023 3:00,2.475757998,10.58162207
1/1/2017 4:00,-8.299,1/1/2018 4:00,-2.7,1/1/2019 4:00,30,1/1/2020 4:00,-2.8,1/1/2021 4:00,4.5,01.01.2022 04:00:00,-0.993,1/1/2023 4:00,0.88902656,8.994890627
1/1/2017 5:00,-9.408,1/1/2018 5:00,-4.1,1/1/2019 5:00,30,1/1/2020 5:00,-3.6,1/1/2021 5:00,4.5,01.01.2022 05:00:00,-1.237,1/1/2023 5:00,-0.209957358,7.89590671
1/1/2017 6:00,-9.622,1/1/2018 6:00,-2,1/1/2019 6:00,30,1/1/2020 6:00,-4.9,1/1/2021 6:00,3.5,01.01.2022 06:00:00,-1.203,1/1/2023 6:00,0.217852118,8.323716185
1/1/2017 7:00,-10.773,1/1/2018 7:00,-2.9,1/1/2019 7:00,30,1/1/2020 7:00,2.7,1/1/2021 7:00,0.8,01.01.2022 07:00:00,-1.203,1/1/2023 7:00,-0.071345296,8.034518771
1/1/2017 8:00,-10.106,1/1/2018 8:00,-3.3,1/1/2019 8:00,30,1/1/2020 8:00,2.6,1/1/2021 8:00,1.3,01.01.2022 08:00:00,-1.374,1/1/2023 8:00,-3.084460468,5.021403599
1/1/2017 9:00,-6.664,1/1/2018 9:00,0.5,1/1/2019 9:00,30,1/1/2020 9:00,4.1,1/1/2021 9:00,4.5,01.01.2022 09:00:00,-0.646,1/1/2023 9:00,-1.888931484,6.216932583
1/1/2017 10:00,-3.813,1/1/2018 10:00,2.2,1/1/2019 10:00,30,1/1/2020 10:00,4.9,1/1/2021 10:00,8.1,01.01.2022 10:00:00,-0.059,1/1/2023 10:00,1.757578977,9.863443044
1/1/2017 11:00,-1.942,1/1/2018 11:00,4.4,1/1/2019 11:00,30,1/1/2020 11:00,5.4,1/1/2021 11:00,10,01.01.2022 11:00:00,1.263,1/1/2023 11:00,4.143350533,12.2492146
1/1/2017 12:00,-0.128,1/1/2018 12:00,5.2,1/1/2019 12:00,30,1/1/2020 12:00,5.9,1/1/2021 12:00,10.5,01.01.2022 12:00:00,2.719,1/1/2023 12:00,6.234563404,14.34042747
1/1/2017 13:00,1.915,1/1/2018 13:00,9.4,1/1/2019 13:00,30,1/1/2020 13:00,6.2,1/1/2021 13:00,11,01.01.2022 13:00:00,4.106,1/1/2023 13:00,7.183270467,15.28913453
1/1/2017 14:00,1.53,1/1/2018 14:00,10.9,1/1/2019 14:00,30,1/1/2020 14:00,6,1/1/2021 14:00,11,01.01.2022 14:00:00,5.459,1/1/2023 14:00,7.204049843,15.30991391
1/1/2017 15:00,1.675,1/1/2018 15:00,12.1,1/1/2019 15:00,30,1/1/2020 15:00,5.5,1/1/2021 15:00,10.7,01.01.2022 15:00:00,6.915,1/1/2023 15:00,7.113899081,15.21976315
1/1/2017 16:00,-0.414,1/1/2018 16:00,11.5,1/1/2019 16:00,30,1/1/2020 16:00,4.5,1/1/2021 16:00,8.3,01.01.2022 16:00:00,5.874,1/1/2023 16:00,5.441988037,13.5478521
1/1/2017 17:00,-2.739,1/1/2018 17:00,9.7,1/1/2019 17:00,30,1/1/2020 17:00,3.2,1/1/2021 17:00,5.5,01.01.2022 17:00:00,5.181,1/1/2023 17:00,3.212732913,11.31859698
1/1/2017 18:00,-4.999,1/1/2018 18:00,11,1/1/2019 18:00,30,1/1/2020 18:00,1.5,1/1/2021 18:00,5.2,01.01.2022 19:00:00,4.628,1/1/2023 18:00,1.244646982,9.350511049
1/1/2017 19:00,-4.995,1/1/2018 19:00,7.3,1/1/2019 19:00,30,1/1/2020 19:00,2.4,1/1/2021 19:00,4.2,01.01.2022 20:00:00,5.463,1/1/2023 19:00,2.023412266,10.12927633
1/1/2017 20:00,-5.974,1/1/2018 20:00,7.6,1/1/2019 20:00,30,1/1/2020 20:00,1.6,1/1/2021 20:00,3.3,01.01.2022 21:00:00,4.906,1/1/2023 20:00,-0.415274462,7.690589605
1/1/2017 21:00,-6.211,1/1/2018 21:00,9.9,1/1/2019 21:00,30,1/1/2020 21:00,1,1/1/2021 21:00,3.2,01.01.2022 22:00:00,6.431,1/1/2023 21:00,-0.166955353,7.938908714
1/1/2017 22:00,-6.39,1/1/2018 22:00,6.6,1/1/2019 22:00,30,1/1/2020 22:00,2.5,1/1/2021 22:00,1.3,01.01.2022 23:00:00,5.909,1/1/2023 22:00,-0.268337444,7.837526623
1/1/2017 23:00,-7.354,1/1/2018 23:00,8.2,1/1/2019 23:00,30,1/1/2020 23:00,1.4,1/1/2021 23:00,2,02.01.2022 00:00:00,7.022,1/1/2023 23:00,-2.396358189,5.709505879
1/2/2017 0:00,-7.716,1/2/2018 0:00,7.8,1/2/2019 0:00,30,1/2/2020 0:00,1.2,1/2/2021 0:00,1.9,02.01.2022 01:00:00,6.812,1/2/2023 0:00,-1.095459128,7.010404939
1/2/2017 1:00,-7.434,1/2/2018 1:00,7.7,1/2/2019 1:00,30,1/2/2020 1:00,1.7,1/2/2021 1:00,0.5,02.01.2022 02:00:00,5.631,1/2/2023 1:00,-0.89351835,7.212345717
1/2/2017 2:00,-7.533,1/2/2018 2:00,6.6,1/2/2019 2:00,30,1/2/2020 2:00,1.8,1/2/2021 2:00,-1.2,02.01.2022 03:00:00,5.425,1/2/2023 2:00,-2.498822073,5.607041994
1/2/2017 3:00,-8.859,1/2/2018 3:00,6.5,1/2/2019 3:00,30,1/2/2020 3:00,1.1,1/2/2021 3:00,-1.2,02.01.2022 04:00:00,5.322,1/2/2023 3:00,-4.23133812,3.874525947
1/2/2017 4:00,-8.471,1/2/2018 4:00,6.4,1/2/2019 4:00,30,1/2/2020 4:00,-1.7,1/2/2021 4:00,-1.9,02.01.2022 05:00:00,4.628,1/2/2023 4:00,-5.350668476,2.755195592
1/2/2017 5:00,-9.138,1/2/2018 5:00,6.4,1/2/2019 5:00,30,1/2/2020 5:00,-2.7,1/2/2021 5:00,-2.4,02.01.2022 06:00:00,4.209,1/2/2023 5:00,-5.756113089,2.349750978
1/2/2017 6:00,-9.065,1/2/2018 6:00,6.2,1/2/2019 6:00,30,1/2/2020 6:00,-1.8,1/2/2021 6:00,-3.3,02.01.2022 07:00:00,4.209,1/2/2023 6:00,-6.211804624,1.894059443
1/2/2017 7:00,-9.724,1/2/2018 7:00,6.2,1/2/2019 7:00,30,1/2/2020 7:00,-2.9,1/2/2021 7:00,-2.9,02.01.2022 08:00:00,2.894,1/2/2023 7:00,-6.220476027,1.88538804
1/2/2017 8:00,-8.646,1/2/2018 8:00,6.2,1/2/2019 8:00,30,1/2/2020 8:00,-2.1,1/2/2021 8:00,-3.1,02.01.2022 09:00:00,8.028,1/2/2023 8:00,-6.816671771,1.289192296
1/2/2017 9:00,-5.971,1/2/2018 9:00,7.1,1/2/2019 9:00,30,1/2/2020 9:00,1,1/2/2021 9:00,2.4,02.01.2022 10:00:00,11.008,1/2/2023 9:00,-5.56885219,2.537011877
1/2/2017 10:00,-3.68,1/2/2018 10:00,9,1/2/2019 10:00,30,1/2/2020 10:00,3.3,1/2/2021 10:00,4.2,02.01.2022 11:00:00,13.158,1/2/2023 10:00,-0.141747913,7.964116154
1/2/2017 11:00,-1.557,1/2/2018 11:00,9.5,1/2/2019 11:00,30,1/2/2020 11:00,4.6,1/2/2021 11:00,5.8,02.01.2022 12:00:00,14.613,1/2/2023 11:00,0.450514809,8.556378876
1/2/2017 12:00,1.572,1/2/2018 12:00,9.2,1/2/2019 12:00,30,1/2/2020 12:00,4.8,1/2/2021 12:00,7.2,02.01.2022 13:00:00,15.997,1/2/2023 12:00,2.459081013,10.56494508
1/2/2017 13:00,4.796,1/2/2018 13:00,9.8,1/2/2019 13:00,30,1/2/2020 13:00,5.6,1/2/2021 13:00,8.6,02.01.2022 14:00:00,16.694,1/2/2023 13:00,4.25573392,12.36159799
1/2/2017 14:00,7.368,1/2/2018 14:00,9.7,1/2/2019 14:00,30,1/2/2020 14:00,5.9,1/2/2021 14:00,9.8,02.01.2022 15:00:00,15.547,1/2/2023 14:00,5.203955243,13.30981931
1/2/2017 15:00,8.923,1/2/2018 15:00,9.2,1/2/2019 15:00,30,1/2/2020 15:00,5.8,1/2/2021 15:00,8.9,02.01.2022 16:00:00,11.591,1/2/2023 15:00,5.816829095,13.92269316
1/2/2017 16:00,7.536,1/2/2018 16:00,8.4,1/2/2019 16:00,30,1/2/2020 16:00,3.5,1/2/2021 16:00,6.3,02.01.2022 17:00:00,8.024,1/2/2023 16:00,3.635113469,11.74097754
1/2/2017 17:00,6.461,1/2/2018 17:00,9.2,1/2/2019 17:00,30,1/2/2020 17:00,1.3,1/2/2021 17:00,3,02.01.2022 18:00:00,7.574,1/2/2023 17:00,1.369669442,9.475533509
1/2/2017 18:00,5.49,1/2/2018 18:00,8,1/2/2019 18:00,30,1/2/2020 18:00,-0.4,1/2/2021 18:00,2.3,02.01.2022 19:00:00,7.022,1/2/2023 18:00,-1.136504073,6.969359994
1/2/2017 19:00,4.137,1/2/2018 19:00,7.7,1/2/2019 19:00,30,1/2/2020 19:00,-1.2,1/2/2021 19:00,1.4,02.01.2022 20:00:00,5.947,1/2/2023 19:00,-1.309183618,6.796680449
1/2/2017 20:00,4.11,1/2/2018 20:00,5.4,1/2/2019 20:00,30,1/2/2020 20:00,-2.4,1/2/2021 20:00,1.7,02.01.2022 21:00:00,4.525,1/2/2023 20:00,-2.969348943,5.136515124
1/2/2017 21:00,3.725,1/2/2018 21:00,5.7,1/2/2019 21:00,30,1/2/2020 21:00,-2.1,1/2/2021 21:00,1.9,02.01.2022 22:00:00,3.759,1/2/2023 21:00,-2.100766403,6.005097664
1/2/2017 22:00,4.415,1/2/2018 22:00,6.2,1/2/2019 22:00,30,1/2/2020 22:00,-3.2,1/2/2021 22:00,1.9,02.01.2022 23:00:00,2.753,1/2/2023 22:00,-1.307826867,6.7980372
1/2/2017 23:00,2.227,1/2/2018 23:00,6.2,1/2/2019 23:00,30,1/2/2020 23:00,-4.3,1/2/2021 23:00,1.6,03.01.2022 00:00:00,2.928,1/2/2023 23:00,-1.879459961,6.226404107
1/3/2017 0:00,0.874,1/3/2018 0:00,6.2,1/3/2019 0:00,30,1/3/2020 0:00,-4.7,1/3/2021 0:00,1.3,03.01.2022 01:00:00,2.166,1/3/2023 0:00,-1.743024368,6.362839699
1/3/2017 1:00,0.844,1/3/2018 1:00,6.2,1/3/2019 1:00,30,1/3/2020 1:00,-4.8,1/3/2021 1:00,1.5,03.01.2022 02:00:00,1.922,1/3/2023 1:00,-1.774390646,6.331473421
1/3/2017 2:00,2.128,1/3/2018 2:00,6.4,1/3/2019 2:00,30,1/3/2020 2:00,-5.3,1/3/2021 2:00,1.7,03.01.2022 03:00:00,0.15,1/3/2023 2:00,-1.986728084,6.119135983
1/3/2017 3:00,4.38,1/3/2018 3:00,5.8,1/3/2019 3:00,30,1/3/2020 3:00,-4.5,1/3/2021 3:00,1.8,03.01.2022 04:00:00,2.269,1/3/2023 3:00,-1.664160728,6.441703339
1/3/2017 4:00,4.727,1/3/2018 4:00,5.9,1/3/2019 4:00,30,1/3/2020 4:00,-5.9,1/3/2021 4:00,1.5,03.01.2022 05:00:00,1.229,1/3/2023 4:00,-2.749654194,5.356209873
1/3/2017 5:00,4.937,1/3/2018 5:00,5.8,1/3/2019 5:00,30,1/3/2020 5:00,-6.4,1/3/2021 5:00,1.7,03.01.2022 06:00:00,1.366,1/3/2023 5:00,-2.745675563,5.360188504
1/3/2017 6:00,3.794,1/3/2018 6:00,5.7,1/3/2019 6:00,30,1/3/2020 6:00,-7.2,1/3/2021 6:00,2.2,03.01.2022 07:00:00,2.025,1/3/2023 6:00,-2.540500746,5.565363321
1/3/2017 7:00,3.965,1/3/2018 7:00,5.5,1/3/2019 7:00,30,1/3/2020 7:00,-7.1,1/3/2021 7:00,1.3,03.01.2022 08:00:00,5.39,1/3/2023 7:00,-1.35648248,6.749381587
1/3/2017 8:00,4.621,1/3/2018 8:00,5.8,1/3/2019 8:00,30,1/3/2020 8:00,-6,1/3/2021 8:00,1.7,03.01.2022 09:00:00,5.219,1/3/2023 8:00,-3.289759927,4.81610414
1/3/2017 9:00,8.134,1/3/2018 9:00,6.2,1/3/2019 9:00,30,1/3/2020 9:00,-2.9,1/3/2021 9:00,3.5,03.01.2022 10:00:00,9.899,1/3/2023 9:00,-1.27229148,6.833572587
1/3/2017 10:00,8.855,1/3/2018 10:00,7.7,1/3/2019 10:00,30,1/3/2020 10:00,-1,1/3/2021 10:00,7.7,03.01.2022 11:00:00,13.47,1/3/2023 10:00,0.40484137,8.510705437
1/3/2017 11:00,8.855,1/3/2018 11:00,9,1/3/2019 11:00,30,1/3/2020 11:00,1.9,1/3/2021 11:00,6.3,03.01.2022 12:00:00,15.722,1/3/2023 11:00,3.720116208,11.82598027
1/3/2017 12:00,9.278,1/3/2018 12:00,9.7,1/3/2019 12:00,30,1/3/2020 12:00,3.2,1/3/2021 12:00,7.7,03.01.2022 13:00:00,15.303,1/3/2023 12:00,2.848474708,10.95433877
1/3/2017 13:00,7.78,1/3/2018 13:00,8.9,1/3/2019 13:00,30,1/3/2020 13:00,4.3,1/3/2021 13:00,10.5,03.01.2022 14:00:00,14.301,1/3/2023 13:00,4.313813541,12.41967761
1/3/2017 14:00,4.762,1/3/2018 14:00,10.6,1/3/2019 14:00,30,1/3/2020 14:00,6.3,1/3/2021 14:00,10.4,03.01.2022 15:00:00,13.466,1/3/2023 14:00,6.471833539,14.57769761
1/3/2017 15:00,3.687,1/3/2018 15:00,9.2,1/3/2019 15:00,30,1/3/2020 15:00,5.1,1/3/2021 15:00,9.3,03.01.2022 16:00:00,12.289,1/3/2023 15:00,6.174371318,14.28023539
1/3/2017 16:00,2.749,1/3/2018 16:00,7.4,1/3/2019 16:00,30,1/3/2020 16:00,3,1/3/2021 16:00,7.4,03.01.2022 17:00:00,11.355,1/3/2023 16:00,3.763223154,11.86908722
1/3/2017 17:00,1.915,1/3/2018 17:00,7.3,1/3/2019 17:00,30,1/3/2020 17:00,0.1,1/3/2021 17:00,5.7,03.01.2022 18:00:00,10.905,1/3/2023 17:00,2.061280729,10.1671448
1/3/2017 18:00,0.981,1/3/2018 18:00,7.1,1/3/2019 18:00,30,1/3/2020 18:00,-1.2,1/3/2021 18:00,4.7,03.01.2022 19:00:00,9.655,1/3/2023 18:00,0.916549054,9.022413121
1/3/2017 19:00,0.002,1/3/2018 19:00,7.1,1/3/2019 19:00,30,1/3/2020 19:00,-1.9,1/3/2021 19:00,4.3,03.01.2022 20:00:00,9.24,1/3/2023 19:00,0.902286338,9.008150405
1/3/2017 20:00,-0.273,1/3/2018 20:00,7.3,1/3/2019 20:00,30,1/3/2020 20:00,-2.8,1/3/2021 20:00,3.3,03.01.2022 21:00:00,7.403,1/3/2023 20:00,-0.5460715,7.559792567
1/3/2017 21:00,-0.482,1/3/2018 21:00,7.5,1/3/2019 21:00,30,1/3/2020 21:00,-3.1,1/3/2021 21:00,2.1,03.01.2022 22:00:00,7.681,1/3/2023 21:00,-0.084949868,8.020914199
1/3/2017 22:00,-0.692,1/3/2018 22:00,7.4,1/3/2019 22:00,30,1/3/2020 22:00,-3.3,1/3/2021 22:00,2.2,03.01.2022 23:00:00,5.181,1/3/2023 22:00,-1.602669888,6.503194179
1/3/2017 23:00,-1.001,1/3/2018 23:00,6.4,1/3/2019 23:00,30,1/3/2020 23:00,-4.5,1/3/2021 23:00,1.4,04.01.2022 00:00:00,4.594,1/3/2023 23:00,-1.202228167,6.9036359
1/4/2017 0:00,-1.031,1/4/2018 0:00,4.2,1/4/2019 0:00,30,1/4/2020 0:00,-4.5,1/4/2021 0:00,1.9,04.01.2022 01:00:00,4.868,1/4/2023 0:00,-1.992484149,6.113379918
1/4/2017 1:00,-1.287,1/4/2018 1:00,2,1/4/2019 1:00,30,1/4/2020 1:00,30,1/4/2021 1:00,1.6,04.01.2022 02:00:00,2.89,1/4/2023 1:00,-1.523826618,6.582037449
1/4/2017 2:00,-1.313,1/4/2018 2:00,1.3,1/4/2019 2:00,30,1/4/2020 2:00,30,1/4/2021 2:00,2.1,04.01.2022 03:00:00,1.713,1/4/2023 2:00,-1.746754715,6.359109352
1/4/2017 3:00,-1.489,1/4/2018 3:00,1.4,1/4/2019 3:00,30,1/4/2020 3:00,30,1/4/2021 3:00,2.4,04.01.2022 04:00:00,2.269,1/4/2023 3:00,-1.351070841,6.754793227
1/4/2017 4:00,-1.386,1/4/2018 4:00,1.2,1/4/2019 4:00,30,1/4/2020 4:00,-6.9,1/4/2021 4:00,2.4,04.01.2022 05:00:00,2.65,1/4/2023 4:00,-2.391893499,5.713970568
1/4/2017 5:00,-1.489,1/4/2018 5:00,1.3,1/4/2019 5:00,30,1/4/2020 5:00,-6.3,1/4/2021 5:00,2.6,04.01.2022 06:00:00,3.866,1/4/2023 5:00,-2.28713065,5.818733417
1/4/2017 6:00,-1.98,1/4/2018 6:00,1.5,1/4/2019 6:00,30,1/4/2020 6:00,30,1/4/2021 6:00,3,04.01.2022 07:00:00,3.172,1/4/2023 6:00,-1.744866659,6.360997409
1/4/2017 7:00,-1.976,1/4/2018 7:00,1.8,1/4/2019 7:00,30,1/4/2020 7:00,30,1/4/2021 7:00,3,04.01.2022 08:00:00,2.826,1/4/2023 7:00,-0.838985088,7.266878979
1/4/2017 8:00,-2.392,1/4/2018 8:00,2,1/4/2019 8:00,30,1/4/2020 8:00,-7.2,1/4/2021 8:00,3,04.01.2022 09:00:00,8.687,1/4/2023 8:00,-1.570928181,6.534935886
1/4/2017 9:00,-0.521,1/4/2018 9:00,2.5,1/4/2019 9:00,30,1/4/2020 9:00,-7.2,1/4/2021 9:00,3.7,04.01.2022 10:00:00,12.224,1/4/2023 9:00,0.090367901,8.196231968
1/4/2017 10:00,-0.86,1/4/2018 10:00,3.5,1/4/2019 10:00,30,1/4/2020 10:00,30,1/4/2021 10:00,3.8,04.01.2022 11:00:00,12.986,1/4/2023 10:00,0.589606767,8.695470834
1/4/2017 11:00,-0.414,1/4/2018 11:00,3.4,1/4/2019 11:00,30,1/4/2020 11:00,30,1/4/2021 11:00,4.4,04.01.2022 12:00:00,13.607,1/4/2023 11:00,0.165386183,8.27125025
1/4/2017 12:00,0.638,1/4/2018 12:00,5.6,1/4/2019 12:00,30,1/4/2020 12:00,30,1/4/2021 12:00,4.6,04.01.2022 13:00:00,13.089,1/4/2023 12:00,0.946202212,9.052066279
1/4/2017 13:00,0.699,1/4/2018 13:00,7.2,1/4/2019 13:00,30,1/4/2020 13:00,3.2,1/4/2021 13:00,30,04.01.2022 14:00:00,12.498,1/4/2023 13:00,1.553568789,9.659432856
1/4/2017 14:00,1.114,1/4/2018 14:00,7.2,1/4/2019 14:00,30,1/4/2020 14:00,5,1/4/2021 14:00,5.6,04.01.2022 15:00:00,12.327,1/4/2023 14:00,24.14944341,32.25530748
1/4/2017 15:00,0.489,1/4/2018 15:00,8.9,1/4/2019 15:00,30,1/4/2020 15:00,3.8,1/4/2021 15:00,5.7,04.01.2022 16:00:00,11.633,1/4/2023 15:00,1.718061475,9.823925542
1/4/2017 16:00,-0.448,1/4/2018 16:00,5.8,1/4/2019 16:00,30,1/4/2020 16:00,2.6,1/4/2021 16:00,5.4,04.01.2022 17:00:00,11.286,1/4/2023 16:00,0.401606485,8.507470552
1/4/2017 17:00,-1.63,1/4/2018 17:00,3.3,1/4/2019 17:00,30,1/4/2020 17:00,1.2,1/4/2021 17:00,5.3,04.01.2022 18:00:00,11.286,1/4/2023 17:00,0.206437068,8.312301135
1/4/2017 18:00,-1.801,1/4/2018 18:00,4.3,1/4/2019 18:00,30,1/4/2020 18:00,0.3,1/4/2021 18:00,5.2,04.01.2022 19:00:00,11.077,1/4/2023 18:00,0.537101223,8.64296529
1/4/2017 19:00,-2.076,1/4/2018 19:00,4.2,1/4/2019 19:00,30,1/4/2020 19:00,-0.6,1/4/2021 19:00,5.1,04.01.2022 20:00:00,10.734,1/4/2023 19:00,1.135614681,9.241478748
1/4/2017 20:00,-0.829,1/4/2018 20:00,4.6,1/4/2019 20:00,30,1/4/2020 20:00,-0.1,1/4/2021 20:00,5.1,04.01.2022 21:00:00,10.593,1/4/2023 20:00,0.210904799,8.316768866
1/4/2017 21:00,4.239,1/4/2018 21:00,2.1,1/4/2019 21:00,30,1/4/2020 21:00,-0.4,1/4/2021 21:00,5,04.01.2022 22:00:00,10.177,1/4/2023 21:00,1.673337066,9.779201133
1/4/2017 22:00,4.792,1/4/2018 22:00,0.3,1/4/2019 22:00,30,1/4/2020 22:00,-0.1,1/4/2021 22:00,4.8,04.01.2022 23:00:00,10.284,1/4/2023 22:00,1.75965572,9.865519787
1/4/2017 23:00,4.903,1/4/2018 23:00,-0.3,1/4/2019 23:00,30,1/4/2020 23:00,-1.3,1/4/2021 23:00,5.9,05.01.2022 00:00:00,10.04,1/4/2023 23:00,0.823303111,8.929167178
1/5/2017 0:00,5.387,1/5/2018 0:00,0.4,1/5/2019 0:00,30,1/5/2020 0:00,-0.3,1/5/2021 0:00,6.4,05.01.2022 01:00:00,8.756,1/5/2023 0:00,2.343212464,10.44907653
1/5/2017 1:00,4.167,1/5/2018 1:00,-0.4,1/5/2019 1:00,30,1/5/2020 1:00,-0.4,1/5/2021 1:00,6.4,05.01.2022 02:00:00,8.375,1/5/2023 1:00,-1.126672895,6.979191172
1/5/2017 2:00,3.199,1/5/2018 2:00,0.5,1/5/2019 2:00,30,1/5/2020 2:00,-0.8,1/5/2021 2:00,6.2,05.01.2022 03:00:00,10.25,1/5/2023 2:00,6.393729484,14.49959355
1/5/2017 3:00,1.667,1/5/2018 3:00,0.8,1/5/2019 3:00,30,1/5/2020 3:00,-0.6,1/5/2021 3:00,6.2,05.01.2022 04:00:00,10.318,1/5/2023 3:00,2.250789132,10.3566532
1/5/2017 4:00,0.348,1/5/2018 4:00,0.6,1/5/2019 4:00,30,1/5/2020 4:00,1.7,1/5/2021 4:00,6.6,05.01.2022 05:00:00,10.12,1/5/2023 4:00,0.88579927,8.991663337
1/5/2017 5:00,-0.063,1/5/2018 5:00,0.4,1/5/2019 5:00,30,1/5/2020 5:00,0.2,1/5/2021 5:00,5.9,05.01.2022 06:00:00,10.837,1/5/2023 5:00,1.337241408,9.443105476
1/5/2017 6:00,-0.094,1/5/2018 6:00,-0.3,1/5/2019 6:00,30,1/5/2020 6:00,3.8,1/5/2021 6:00,5.7,05.01.2022 07:00:00,10.699,1/5/2023 6:00,1.15713484,9.262998907
1/5/2017 7:00,-0.307,1/5/2018 7:00,0,1/5/2019 7:00,30,1/5/2020 7:00,2.9,1/5/2021 7:00,5.1,05.01.2022 08:00:00,10.532,1/5/2023 7:00,1.586760631,9.692624698
1/5/2017 8:00,-0.166,1/5/2018 8:00,0.2,1/5/2019 8:00,30,1/5/2020 8:00,4.3,1/5/2021 8:00,5.4,05.01.2022 09:00:00,13.123,1/5/2023 8:00,0.207622247,8.313486314
1/5/2017 9:00,-0.098,1/5/2018 9:00,3.4,1/5/2019 9:00,30,1/5/2020 9:00,4.5,1/5/2021 9:00,6.3,05.01.2022 10:00:00,13.508,1/5/2023 9:00,2.063082018,10.16894608
1/5/2017 10:00,-0.025,1/5/2018 10:00,3.8,1/5/2019 10:00,30,1/5/2020 10:00,4.3,1/5/2021 10:00,7.4,05.01.2022 11:00:00,15.863,1/5/2023 10:00,2.97709504,11.08295911
1/5/2017 11:00,-0.067,1/5/2018 11:00,5,1/5/2019 11:00,30,1/5/2020 11:00,2,1/5/2021 11:00,7.3,05.01.2022 12:00:00,17.251,1/5/2023 11:00,3.123060176,11.22892424
1/5/2017 12:00,0.318,1/5/2018 12:00,9,1/5/2019 12:00,30,1/5/2020 12:00,3.3,1/5/2021 12:00,8.7,05.01.2022 13:00:00,17.46,1/5/2023 12:00,3.562316792,11.66818086
1/5/2017 13:00,0.245,1/5/2018 13:00,8.4,1/5/2019 13:00,30,1/5/2020 13:00,3.2,1/5/2021 13:00,8.4,05.01.2022 14:00:00,18.257,1/5/2023 13:00,5.743303843,13.84916791
1/5/2017 14:00,-0.166,1/5/2018 14:00,8.9,1/5/2019 14:00,30,1/5/2020 14:00,2.5,1/5/2021 14:00,10.2,05.01.2022 15:00:00,17.594,1/5/2023 14:00,4.062083931,12.167948
1/5/2017 15:00,-0.273,1/5/2018 15:00,9.4,1/5/2019 15:00,30,1/5/2020 15:00,2,1/5/2021 15:00,10.5,05.01.2022 16:00:00,14.267,1/5/2023 15:00,5.929571614,14.03543568
1/5/2017 16:00,-0.555,1/5/2018 16:00,7.9,1/5/2019 16:00,30,1/5/2020 16:00,1.5,1/5/2021 16:00,8.7,05.01.2022 17:00:00,10.387,1/5/2023 16:00,4.730339413,12.83620348
1/5/2017 17:00,-1.18,1/5/2018 17:00,5.4,1/5/2019 17:00,30,1/5/2020 17:00,1.1,1/5/2021 17:00,4.4,05.01.2022 18:00:00,8.79,1/5/2023 17:00,3.389728623,11.49559269
1/5/2017 18:00,-1.39,1/5/2018 18:00,3.2,1/5/2019 18:00,30,1/5/2020 18:00,0.4,1/5/2021 18:00,6.9,05.01.2022 19:00:00,7.925,1/5/2023 18:00,-0.153934188,7.951929879
1/5/2017 19:00,-1.805,1/5/2018 19:00,3,1/5/2019 19:00,30,1/5/2020 19:00,0.5,1/5/2021 19:00,5.9,05.01.2022 20:00:00,7.09,1/5/2023 19:00,2.791781949,10.89764602
1/5/2017 20:00,-2.22,1/5/2018 20:00,2.2,1/5/2019 20:00,30,1/5/2020 20:00,1.2,1/5/2021 20:00,5.3,05.01.2022 21:00:00,8.34,1/5/2023 20:00,0.940440026,9.046304094
1/5/2017 21:00,-2.533,1/5/2018 21:00,2.5,1/5/2019 21:00,30,1/5/2020 21:00,0.8,1/5/2021 21:00,3.9,05.01.2022 22:00:00,6.366,1/5/2023 21:00,1.823004391,9.928868458
1/5/2017 22:00,-2.674,1/5/2018 22:00,1.7,1/5/2019 22:00,30,1/5/2020 22:00,0.9,1/5/2021 22:00,1.5,05.01.2022 23:00:00,4.076,1/5/2023 22:00,0.570240651,8.676104718
1/5/2017 23:00,-2.811,1/5/2018 23:00,1.5,1/5/2019 23:00,30,1/5/2020 23:00,0.6,1/5/2021 23:00,1.3,06.01.2022 00:00:00,5.253,1/5/2023 23:00,-2.041709759,6.064154308
1/6/2017 0:00,-3.017,1/6/2018 0:00,1.3,1/6/2019 0:00,30,1/6/2020 0:00,0.7,1/6/2021 0:00,2.9,06.01.2022 01:00:00,3.416,1/6/2023 0:00,-2.054433851,6.051430216
1/6/2017 1:00,-3.398,1/6/2018 1:00,0.8,1/6/2019 1:00,30,1/6/2020 1:00,0.1,1/6/2021 1:00,5.5,06.01.2022 02:00:00,5.257,1/6/2023 1:00,0.461181181,8.567045248
